country,avg_prec_mm
Aut,1110
Aus,534
Bra,1761
Brt,1151
Can,537
Esp,636
Fra,867
Ger,700
Irl,1118
Ita,832
Nzl,1732
Rsa,495
Sct,1395
Sui,1537
Svk,824
Swe,624
Usa,715
Ned,778
Nor,1414
Por,854
Slo,1415
